[2026-09-03 | 10:58:38] INFO     [STRMCNTR] Scraping from "https://streamecenter.live"                             (stc.py:431)
[2026-09-03 | 10:58:40] INFO     [STRMCNTR] No events found                                                        (stc.py:456)
[2026-09-03 | 14:46:59] INFO     [STRMCNTR] Scraping from "https://streamecenter.live"                             (stc.py:431)
[2026-09-03 | 14:47:00] INFO     [STRMCNTR] Processing 24 URL(s)                                                   (stc.py:459)
[2026-09-03 | 14:47:01] INFO     [STRMCNTR] URL 1) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:01] INFO     [STRMCNTR] URL 2) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:03] INFO     [STRMCNTR] URL 3) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:03] INFO     [STRMCNTR] URL 4) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:03] INFO     [STRMCNTR] URL 5) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:04] INFO     [STRMCNTR] URL 6) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:04] INFO     [STRMCNTR] URL 7) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:04] INFO     [STRMCNTR] URL 8) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:05] INFO     [STRMCNTR] URL 9) Captured M3U8                                                   (stc.py:303)
[2026-09-03 | 14:47:05] INFO     [STRMCNTR] URL 10) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:05] INFO     [STRMCNTR] URL 11) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:06] INFO     [STRMCNTR] URL 12) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:07] INFO     [STRMCNTR] URL 13) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:07] INFO     [STRMCNTR] URL 14) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:08] INFO     [STRMCNTR] URL 15) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:08] INFO     [STRMCNTR] URL 16) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:08] INFO     [STRMCNTR] URL 17) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:09] INFO     [STRMCNTR] URL 18) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:10] INFO     [STRMCNTR] URL 19) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:11] INFO     [STRMCNTR] URL 20) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:11] INFO     [STRMCNTR] URL 21) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:11] INFO     [STRMCNTR] URL 22) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:12] INFO     [STRMCNTR] URL 23) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:12] INFO     [STRMCNTR] URL 24) Captured M3U8                                                  (stc.py:303)
[2026-09-03 | 14:47:12] INFO     [STRMCNTR] Collected 24 event(s)                                                  (stc.py:515)
